timestamp,phase,activity,actor,active_minutes,wall_minutes,checker_calls,checker_green,files_changed,loc_added,loc_deleted,invariant_revisions,lemma_graph_revisions,notes
2026-07-31T00:00:00-04:00,M0,workspace-and-toolchain-audit,Codex,, ,0,0,0,0,0,0,0,"Start time to be replaced by durable harness timestamps; no E1 baseline was present locally"
2026-07-31T12:00:00-04:00,M0,semantic-slice-size-gate,Codex,,0.012,3,3,2,,,0,0,"Manifest reproduced 670 physical / 587 nonblank / 458 NBNC; verifier plus two unit tests green"
2026-07-31T12:00:00-04:00,M0,stock-list-executable-oracle,Codex,,0.058,2,2,2,,,6,1,"Unmodified list.c compiled and eight-state JSONL trace completed with runtime assertions; run 20260731Tlist-trace-02"
2026-07-31T12:00:00-04:00,M0,list-cparser-autocorres-translation,Codex+workspace_audit,,5.459,11,2,8,,,0,1,"Runs list-smoke-02 through list-smoke-12-final; final green with quick_and_dirty=false and exact generated definition statements; failed attempts retained in FAILURE_LEDGER"
2026-07-31T12:30:00-04:00,M0,trace-driven-invariant-killers,Codex,,0.126,3,3,4,,,5,1,"Run 20260731Tlist-trace-04-analysed: compile, nine-state trace, and analyser all green; five tempting invariants receive first concrete witnesses"
2026-07-31T12:30:00-04:00,M0,link-mutation-nonvacuity,Codex,,0.014,3,3,3,,,0,0,"Run 20260731Tlist-mutation-01-reverse-link: exact one-line mutant compiled and was killed by the unchanged executable oracle (exit 6); upstream hash unchanged"
2026-07-31T13:00:00-04:00,M0,split-heap-sentinel-nonvacuity,Codex+m0_bridge,,2.638,6,3,2,,,2,2,"Runs m0-bridge-02 through 07: audit, typed-root guard conflict, and operational no-run theorem green; three proof-brick failures retained"
2026-07-31T13:00:00-04:00,M0,pure-xlist-model-proof-bricks,Codex+workspace_audit,,11.145,11,0,8,,,4,3,"Nine durable runs total 218.739s plus model-05/model-06 approximately 450s before precise termination; monolith split into five serial theories; first remaining divergence localized to sorted_stable_key_insert"
2026-07-31T13:15:00-04:00,M0,raw-skip-heap-translation,Codex+m0_bridge,,0.665,1,1,2,,,0,1,"Run 20260731Tlist-raw-skip-01: official skip_heap_abs translation green on unchanged stock source; final defs retain c_guard/raw heap and avoid split root_ptr_valid"
2026-07-31T13:30:00-04:00,M0,pure-xlist-model-checker-closeout,Codex+workspace_audit,,1.386,2,1,7,,,0,1,"Runs model-12/model-13; explicit subsetD removed the last non-returning proof search; model-13 built all five serial theories in 13.058s with quick_and_dirty=false, parallel_proofs=0, DB return_code=0/no errors, and the final forbidden-pattern scan was empty"
